,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Is old
2746,I,0.485,0.38,0.125,0.5215,0.2215,0.118,0.16,young
853,M,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,young
1809,F,0.635,0.475,0.15,1.1845,0.533,0.307,0.291,young
3419,F,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,young
1199,M,0.715,0.535,0.19,1.6755,0.889,0.313,0.42,young
2500,M,0.54,0.41,0.145,0.989,0.2815,0.213,0.355,old
1417,F,0.7,0.545,0.13,1.556,0.6725,0.374,0.195,old
1156,F,0.6,0.465,0.15,1.1025,0.5455,0.262,0.25,young
2940,F,0.625,0.49,0.145,0.92,0.437,0.1735,0.28,young
3870,F,0.49,0.385,0.16,0.656,0.2455,0.171,0.205,young
2692,F,0.645,0.52,0.18,1.285,0.5775,0.352,0.317,young
3835,M,0.335,0.26,0.075,0.22,0.0855,0.04,0.085,young
729,M,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,old
2499,M,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,old
3728,M,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,young
4111,M,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,young
3987,F,0.645,0.525,0.17,1.37,0.6135,0.283,0.34,young
4084,M,0.57,0.445,0.16,1.0145,0.516,0.164,0.3,young
637,M,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,young
2101,I,0.37,0.29,0.1,0.25,0.1025,0.0505,0.085,young
3783,F,0.62,0.5,0.175,1.107,0.4895,0.24,0.343,young
3441,I,0.465,0.37,0.1,0.5055,0.234,0.11,0.14,young
2814,I,0.255,0.195,0.055,0.0725,0.0285,0.017,0.021,young
1941,F,0.625,0.52,0.18,1.354,0.4845,0.351,0.375,young
1392,F,0.635,0.495,0.175,1.211,0.707,0.2725,0.323,young
3238,M,0.635,0.51,0.155,1.156,0.428,0.289,0.315,old
860,F,0.595,0.48,0.16,1.2095,0.5225,0.296,0.32,young
3494,M,0.555,0.44,0.15,0.838,0.4155,0.146,0.23,young
1905,F,0.575,0.465,0.175,1.099,0.4735,0.202,0.35,young
770,F,0.53,0.425,0.17,0.949,0.3485,0.2395,0.278,old
3334,I,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,old
564,F,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,young
2669,F,0.585,0.435,0.14,0.6955,0.3085,0.129,0.2245,young
761,M,0.585,0.405,0.15,1.2565,0.435,0.202,0.325,old
606,I,0.425,0.345,0.125,0.425,0.16,0.0795,0.154,old
343,M,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,old
1449,I,0.44,0.365,0.11,0.4465,0.213,0.089,0.1135,young
3050,M,0.59,0.405,0.15,0.853,0.326,0.2615,0.245,young
79,F,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,young
2316,M,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,old
18,F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,young
3611,M,0.58,0.45,0.16,0.8675,0.3935,0.221,0.215,young
4006,F,0.555,0.43,0.14,0.7545,0.3525,0.1835,0.2015,young
3439,I,0.43,0.335,0.105,0.378,0.188,0.0785,0.09,young
2783,M,0.6,0.48,0.09,1.05,0.457,0.2685,0.28,young
793,M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,young
415,F,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,old
658,F,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,old
383,M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,young
2189,M,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,old
1166,F,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,young
263,M,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,young
2869,I,0.335,0.26,0.09,0.1965,0.0875,0.041,0.056,young
